event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
13	boulevard de courcelles || Ouverture || Ordonnance du Bureau des finances du 16 janvier 1789	1789-01-16	10063_ouverture	Boulevard de Courcelles	boulevard				transition	attribute	geometry
148	rue georges berger || Historique || Précédemment, partie de la rue Legendre		11001_historique	Rue Legendre	rue				transition	attribute	geometry
149	rue georges berger || Ouverture || Décret du 10 avril 1867 (UP)	1867-04-10	11001_ouverture	Rue Georges Berger	rue				transition	attribute	geometry
150	rue gérard de nerval || Dénomination || Arrêté du 21 mai 1956	1956-05-21	11030_dénomination	Rue Gérard de Nerval	rue				transition	attribute	name		rue Gérard de Nerval
151	rue gérard de nerval || Historique || Ouverte par la Ville de paris		11030_historique	Rue Gérard de Nerval	rue				transition	attribute	geometry
152	rue gérard de nerval || Ouverture || Ouverte en 1956	1956	11030_ouverture	Rue Gérard de Nerval	rue				transition	attribute	geometry
153	rue georg friedrich haendel || Dénomination || Arrêté municipal du 9 janvier 1987	1987-01-09	11036_dénomination	Rue Georg Friedrich Haendel	rue				transition	attribute	name		rue Georg Friedrich Haendel
154	rue georg friedrich haendel || Historique || Voie créée en 1979 dans le cadre de la Zac `Jemmapes-Grange aux Belles`	1979	11036_historique_1	Rue Georg Friedrich Haendel	rue				transition	attribute	geometry
155	rue georg friedrich haendel || Historique || Elle avait été provisoirement dénommée Q/10		11036_historique_2	Rue Georg Friedrich Haendel	rue				transition	attribute	name	voie Q/10	rue Georg Friedrich Haendel
156	rue georg friedrich haendel || Ouverture || Voie créée en 1979	1979	11036_ouverture	Rue Georg Friedrich Haendel	rue				transition	attribute	geometry
157	impasse girardon || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	11056_classement_1	Impasse Girardon	impasse				classement	landmark
158	impasse girardon || Classement || Précédemment, voie de l'ancienne commune de Montmartre		11056_classement_2	Impasse Girardon	impasse	Montmartre	municipality	within	disappearance	relation
159	impasse girardon || Dénomination || Arrêté du 3 septembre 1869	1869-09-03	11056_dénomination	Impasse Girardon	impasse				transition	attribute	name		impasse Girardon
160	impasse girardon || Historique || Précédemment, impasse de la Fontaine du But		11056_historique_1	Impasse Girardon	impasse				transition	attribute	name	impasse de la Fontaine du But	impasse Girardon
161	impasse girardon || Historique || plus anciennement, impasse de la Fontaine Saint-Denis		11056_historique_2	Impasse Girardon	impasse				transition	attribute	name	impasse de la Fontaine Saint-Denis
162	rue goethe || Classement || Décret du 26 janvier 1891, entre la place Pierre Brisson et la rue Freycinet	1891-01-26	11076_classement_1	Rue Goethe	rue				classement	landmark
163	rue goethe || Classement || Décret du 30 août 1879, le surplus	1879-08-30	11076_classement_2	Rue Goethe	rue				classement	landmark
164	rue goethe || Dénomination || Arrêté du 10 novembre 1885	1885-11-10	11076_dénomination	Rue Goethe	rue				transition	attribute	name		rue Goethe
165	rue goethe || Historique || Avant 1971, la rue Goethe commençait rue Georges Bizet	1971	11076_historique_1	Rue Goethe	rue	rue Georges Bizet	thoroughfare	touches
166	rue goethe || Historique || à cette époque, on a donné le nom de place Pierre Brisson au carrefour formé par les rues Georges Bizet et Goethe et l'avenue Marceau		11076_historique_2	Place Pierre Brisson	place				transition	attribute	name		place Pierre Brisson
167	rue goethe || Historique || Précédemment, rue de Cadix		11076_historique_3	Rue Goethe	rue				transition	attribute	name	rue de Cadix	rue Goethe
168	place des grès || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	11130_classement_1	Place des Grès	place				classement	landmark
169	place des grès || Classement || Précédemment voie de l'ancienne commune de Charonne		11130_classement_2	Place des Grès	place	Charonne	municipality	within	disappearance	relation
170	port du gros caillou || Dénomination || Décision préfectorale du 18 juillet 1905 (confirmation)	1905-07-18	11141_dénomination	Port du Gros Caillou	port				transition	attribute	name		port du Gros Caillou
171	villa de guelma || Classement || Arrêté préfectoral du 26 août 1986	1986-08-26	11150_classement	Villa de Guelma	villa				classement	landmark
172	villa de guelma || Dénomination || Nom attribué par les propriétaires en 1951	1951	11150_dénomination	Villa de Guelma	villa				transition	attribute	name		villa de Guelma
173	villa de guelma || Historique || plus anciennement impasse de Constantine		11150_historique	Impasse de Constantine	impasse				transition	attribute	name	impasse de Constantine	villa de Guelma
173	villa de guelma || Historique || Précédemment, impasse de Guelma (arr du 1er février 1877),	1877-02	11150_historique	Villa de Guelma	villa				transition	attribute	name	impasse de Guelma	villa de Guelma
174	rue gustave le bon || Classement || Arrêté du 3 janvier 1962	1962-01-03	11179_classement	Rue Gustave Le Bon	rue				classement	landmark
175	rue gustave le bon || Dénomination || Arrêté du 29 juillet 1932	1932-07-29	11179_dénomination	Rue Gustave Le Bon	rue				transition	attribute	name		rue Gustave Le Bon
176	rue gustave le bon || Historique || Ouverte par l'Office public d'habitations de la Ville de Paris sur l'emplacement du bastion 79		11179_historique	Rue Gustave Le Bon	rue				transition	attribute	geometry
177	rue gustave le bon || Numérotation || Arrêté du 1er décembre 1932	1932-12	11179_numérotation	Rue Gustave Le Bon	rue				numerotation	landmark
178	rue gustave le bon || Ouverture || Ouverte en 1932	1932	11179_ouverture	Rue Gustave Le Bon	rue				transition	attribute	geometry
179	villa des hauts de belleville || Dénomination || Autorisation préfectorale du 2 février 1960	1960-02-02	11220_dénomination	Villa des Hauts de Belleville	villa				transition	attribute	name		villa des Hauts de Belleville
180	rue henri dubouillon || Classement || Arrêté préfectoral du 6 juin 1984	1984-06-06	11250_classement	Rue Henri Dubouillon	rue				classement	landmark
181	rue henri dubouillon || Ouverture || Ouverte en 1913	1913	11250_ouverture	Rue Henri Dubouillon	rue				transition	attribute	geometry
182	place henri mondor || Dénomination || Arrêté du 14 août 1968	1968-08-14	11263_dénomination	Place Henri Mondor	place				transition	attribute	name		place Henri Mondor
183	quai henri iv || Dénomination || Ordonnance du 5 août 1844	1844-08-05	11268_dénomination	Quai Henri IV	quai				transition	attribute	name		quai Henri IV
184	quai henri iv || Numérotation || Arrêté du 25 juillet 1872	1872-07-25	11268_numérotation	Quai Henri IV	quai				numerotation	landmark
185	quai henri iv || Ouverture || Construit en 1843 sur des terrains provenant de l'île Louviers	1843	11268_ouverture	Quai Henri IV	quai				transition	attribute	geometry
186	rue henri ranvier || Dénomination || Arrêté du 31 janvier 1933	1933-01-31	11270_dénomination	Rue Henri Ranvier	rue				transition	attribute	name		rue Henri Ranvier
187	rue henri ranvier || Historique || Ouverte par l'Office public d'habitations de la Ville de Paris		11270_historique	Rue Henri Ranvier	rue				transition	attribute	geometry
188	rue henri ranvier || Ouverture || Ouverte en 1931	1931	11270_ouverture	Rue Henri Ranvier	rue				transition	attribute	geometry
189	boulevard de l'hôpital || Ouverture || Lettres patentes du 9 août 1760	1760-08-09	11307_ouverture	Boulevard de l'Hôpital	boulevard				transition	attribute	geometry
190	port de l'hôtel de ville || Dénomination || Décision préfectorale du 18 juillet 1905, réunissant le port des Ormes au port de l'Hôtel de Ville	1905-07-18	11316_dénomination	Port de l'Hôtel de Ville	port				transition	attribute	geometry
190	port de l'hôtel de ville || Dénomination || Décision préfectorale du 18 juillet 1905, réunissant le port des Ormes au port de l'Hôtel de Ville	1905-07-18	11316_dénomination	Port des Ormes	port				disappearance	landmark
191	port de l'hôtel de ville || Historique || Précédemment, port des Ormes et port de l'Hôtel de Ville		11316_historique_1	Port de l'Hôtel de Ville	port				transition	attribute	name		port de l'Hôtel de Ville
192	port de l'hôtel de ville || Historique || Le port de l'Hôtel de Ville était précédemment le port de la Grève, antérieurement port aux Blés et port au Foin		11316_historique_2	Port de l'Hôtel de Ville	port				transition	attribute	name	port de la Grève
192	port de l'hôtel de ville || Historique || Le port de l'Hôtel de Ville était précédemment le port de la Grève, antérieurement port aux Blés et port au Foin		11316_historique_2	Port de l'Hôtel de Ville	port				transition	attribute	name	port aux Blés
192	port de l'hôtel de ville || Historique || Le port de l'Hôtel de Ville était précédemment le port de la Grève, antérieurement port aux Blés et port au Foin		11316_historique_2	Port de l'Hôtel de Ville	port				transition	attribute	name	port au Foin
193	rue houdart || Classement || Décret du 23 mai 1863	1863-05-23	11320_classement	Rue Houdart	rue				classement	landmark
194	rue houdart || Historique || Précédemment passage Houdart		11320_historique	Rue Houdart	rue				transition	attribute	name	passage Houdart	rue Houdart
195	rue houdart || Numérotation || Arrêté du 30 janvier 1877	1877-01-30	11320_numérotation	Rue Houdart	rue				numerotation	landmark
197	rue jean daudin || Classement || Décret du 17 février 1914	1914-02-17	11448_classement	Rue Jean Daudin	rue				classement	landmark
198	rue jean daudin || Dénomination || Elle reçut sa dénomination actuelle en 1911	1911	11448_dénomination	Rue Jean Daudin	rue				transition	attribute	name		rue Jean Daudin
199	rue jean daudin || Historique || Cette voie était à l'origine le passage Daudin		11448_historique_1	Rue Jean Daudin	rue				transition	attribute	name	passage Daudin
200	rue jean daudin || Historique || en 1910 elle devint la rue Daudin	1910	11448_historique_2	Rue Jean Daudin	rue				transition	attribute	name		rue Daudin
201	place jean monnet || Dénomination || Arrêté municipal du 3 février 1988	1988-02-03	11470_dénomination	Place Jean Monnet	place				transition	attribute	name		place Jean Monnet
202	place joachim du bellay || Dénomination || Arrêté municipal du 2 avril 1985	1985-04-02	11512_dénomination	Place Joachim du Bellay	place				transition	attribute	name		place Joachim du Bellay
203	place joachim du bellay || Historique || Place créée dans le cadre de l'aménagement du secteur des Halles		11512_historique_1	Place Joachim du Bellay	place				appearance	landmark
204	place joachim du bellay || Historique || Elle avait été provisoirement dénommée C/1		11512_historique_2	Place Joachim du Bellay	place				transition	attribute	name	voie C/1	place Joachim du Bellay
205	rue jongkind || Dénomination || Arrêté municipal du 15 septembre 1982	1982-09-15	11546_dénomination	Rue Jongkind	rue				transition	attribute	name		rue Jongkind
206	rue jongkind || Historique || Voie, provisoirement dénommée AN/15, créée dans le cadre de l'aménagement de la Zac `Saint-Charles`		11546_historique	Rue Jongkind	rue				transition	attribute	name	voie AN/15	rue Jongkind
207	rue jules pichard || Historique || La partie qui débouchait rue des Jardiniers a été supprimée lors de l'aménagement de l'îlot en 1965	1965	11583_historique	Rue Jules Pichard	rue				transition	attribute	geometry
208	rue julia bartet || Classement || Délibération municipale des 15, 16 et 17 décembre 2014	2014-12-17	11592_classement	Rue Julia Bartet	rue				classement	landmark
209	rue julia bartet || Dénomination || Arrêté du 21 mai 1956	1956-05-21	11592_dénomination	Rue Julia Bartet	rue				transition	attribute	name		rue Julia Bartet
210	rue julia bartet || Historique || Ouverte à l'emplacement de l'avenue de Paris (RD n° 30), supprimée en 1947	1947	11592_historique_1	Rue Julia Bartet	rue				transition	attribute	geometry
213	rue julia bartet || Ouverture || Ouverte en 1956	1956	11592_ouverture	Rue Julia Bartet	rue				transition	attribute	geometry
214	avenue junot || Classement || Décret du 15 novembre 1912, entre les rues Girardon et Simon Dereure	1912-11-15	11598_classement_1	Avenue Junot	avenue				classement	landmark
215	avenue junot || Classement || Décret du 20 janvier 1910, le surplus	1910-01-20	11598_classement_2	Avenue Junot	avenue				classement	landmark
216	avenue junot || Dénomination || Arrêté du 8 février 1910	1910-02-08	11598_dénomination	Avenue Junot	avenue				transition	attribute	name		avenue Junot
218	avenue junot || Numérotation || Arrêté du 4 février 1921	1921-02-04	11598_numérotation	Avenue Junot	avenue				numerotation	landmark
219	avenue junot || Ouverture || Décret du 15 novembre 1912, sur une longueur de 143 m environ à partir de la rue Girardon	1912-11-15	11598_ouverture_1	Avenue Junot	avenue				transition	attribute	geometry
220	avenue junot || Ouverture || Décret du 20 janvier 1910 (UP), entre les rues Simon Dereure et Caulaincourt	1910-01-20	11598_ouverture_2	Avenue Junot	avenue				transition	attribute	geometry
221	rue de la planche || Classement || Arrêté du 20 août 1959	1959-08-20	11690_classement	Rue de la Planche	rue				classement	landmark
222	rue de la planche || Ouverture || Ouverte en 1882	1882	11690_ouverture	Rue de la Planche	rue				transition	attribute	geometry
223	rue laurent-pichat || Classement || Décret du 31 octobre 1863, classement dans la voirie parisienne	1863-10-31	11717_classement_1	Rue Laurent-Pichat	rue				classement	landmark
224	rue laurent-pichat || Classement || Précédemment, voie de la commune de Neuilly		11717_classement_2	Rue Laurent-Pichat	rue	Neuilly	municipality	within	disappearance	relation
225	rue laurent-pichat || Dénomination || Arrêté du 9 août 1888	1888-08-09	11717_dénomination	Rue Laurent-Pichat	rue				transition	attribute	name		rue Laurent-Pichat
228	rue laurent-pichat || Numérotation || Arrêté du 24 novembre 1888	1888-11-24	11717_numérotation	Rue Laurent-Pichat	rue				numerotation	landmark
229	square léon guillot || Dénomination || Voie dénommée en 1934	1934	11800_dénomination	Square Léon Guillot	square				transition	attribute	name		square Léon Guillot
230	square léon guillot || Historique || Ouvert par la `France mutualiste`		11800_historique	Square Léon Guillot	square				transition	attribute	geometry
